,location,total_sqft,bath,price,BHK
1615,Electronic City,700.0,1.0,35.0,1
1616,Electronic City,1360.0,2.0,70.5,3
1617,Electronic City,1150.0,2.0,38.0,2
1618,Electronic City,1571.0,3.0,105.0,3
1619,Electronic City,1090.0,2.0,31.49,2
1620,Electronic City,1089.0,2.0,45.0,2
1621,Electronic City,1110.0,2.0,40.0,2
1622,Electronic City,1600.0,3.0,104.0,3
1623,Electronic City,550.0,1.0,15.0,2
1624,Electronic City,1130.0,2.0,32.63,2
1625,Electronic City,1500.0,2.0,100.0,3
1626,Electronic City,1440.0,2.0,55.0,3
1627,Electronic City,1156.0,2.0,44.0,3
1628,Electronic City,1400.0,2.0,40.44,3
1629,Electronic City,1152.0,2.0,65.0,2
1630,Electronic City,1070.0,2.0,60.0,2
1631,Electronic City,1128.0,2.0,65.5,2
1632,Electronic City,1200.0,2.0,59.0,2
1633,Electronic City,1152.0,2.0,65.75,2
1634,Electronic City,1225.0,3.0,45.03,3
1635,Electronic City,1070.0,2.0,55.0,2
1636,Electronic City,1060.0,2.0,58.0,2
1637,Electronic City,1025.0,2.0,54.1,2
1638,Electronic City,1105.0,2.0,35.0,3
1639,Electronic City,660.0,1.0,18.0,2
1640,Electronic City,660.0,1.0,15.0,2
1641,Electronic City,1000.0,2.0,41.0,2
1642,Electronic City,1500.0,2.0,78.0,3
1643,Electronic City,1213.0,2.0,59.32,2
1644,Electronic City,1575.0,3.0,90.0,3
1645,Electronic City,435.0,1.0,19.5,1
1646,Electronic City,1449.0,3.0,100.0,3
1647,Electronic City,1310.0,2.0,37.83,3
1648,Electronic City,1125.0,2.0,58.0,2
1649,Electronic City,1090.0,2.0,35.03,2
1650,Electronic City,1575.0,3.0,101.0,3
1651,Electronic City,660.0,1.0,16.0,2
1652,Electronic City,550.0,1.0,12.0,1
1653,Electronic City,919.0,2.0,40.0,2
1654,Electronic City,1500.0,2.0,78.25,3
1655,Electronic City,1363.0,2.0,79.0,2
1656,Electronic City,1156.0,2.0,42.0,2
1657,Electronic City,1020.0,2.0,29.46,2
1658,Electronic City,1108.0,2.0,67.15,2
1659,Electronic City,1160.0,2.0,33.5,2
1660,Electronic City,1128.0,2.0,65.7,2
1661,Electronic City,1170.0,2.0,33.0,2
1662,Electronic City,1060.0,2.0,51.0,2
1663,Electronic City,1410.0,2.0,38.0,3
1664,Electronic City,1650.0,3.0,100.0,3
1665,Electronic City,1020.0,2.0,29.45,2
1666,Electronic City,1025.0,2.0,49.0,2
1667,Electronic City,1000.0,2.0,29.7,2
1668,Electronic City,1449.0,3.0,90.0,3
1669,Electronic City,1065.0,2.0,30.75,2
1670,Electronic City,1070.0,2.0,58.0,2
1671,Electronic City,1210.0,2.0,54.0,2
1672,Electronic City,1500.0,2.0,75.0,3
1673,Electronic City,1033.0,2.0,28.41,3
1674,Electronic City,1070.0,2.0,52.0,2
1675,Electronic City,2435.0,4.0,119.0,4
1676,Electronic City,660.0,1.0,15.5,2
1677,Electronic City,1125.0,2.0,32.5,2
1678,Electronic City,1165.0,2.0,33.64,2
1679,Electronic City,919.0,2.0,34.0,2
1680,Electronic City,1073.0,2.0,60.0,2
1681,Electronic City,1500.0,2.0,78.0,3
1682,Electronic City,1070.0,2.0,47.0,2
1683,Electronic City,1296.0,2.0,65.0,2
1684,Electronic City,1140.0,2.0,70.93,2
1685,Electronic City,1200.0,2.0,34.65,2
1686,Electronic City,1096.0,2.0,40.55,2
1687,Electronic City,1017.0,2.0,27.0,2
1688,Electronic City,1130.0,2.0,32.63,2
1689,Electronic City,1110.0,2.0,39.95,2
1690,Electronic City,2093.0,4.0,104.0,4
1691,Electronic City,1025.0,2.0,53.9,2
1692,Electronic City,940.0,2.0,54.0,2
1693,Electronic City,435.0,1.0,21.0,1
1694,Electronic City,1500.0,2.0,77.5,3
1695,Electronic City,1631.0,3.0,80.0,3
1696,Electronic City,1355.0,2.0,67.0,2
1697,Electronic City,1200.0,2.0,34.0,2
1698,Electronic City,1175.0,2.0,47.0,2
1699,Electronic City,435.0,1.0,22.0,1
1700,Electronic City,1500.0,2.0,63.0,3
1701,Electronic City,1039.0,2.0,50.0,2
1702,Electronic City,770.0,1.0,39.9,2
1703,Electronic City,919.0,2.0,35.0,2
1704,Electronic City,550.0,1.0,15.0,2
1705,Electronic City,1128.0,2.0,64.0,2
1706,Electronic City,605.0,1.0,13.31,1
1707,Electronic City,1159.0,2.0,38.0,3
1708,Electronic City,530.0,1.0,13.5,1
1709,Electronic City,1070.0,2.0,53.0,2
1710,Electronic City,1025.0,1.0,26.63,2
1711,Electronic City,2400.0,2.0,78.0,3
1712,Electronic City,1571.0,3.0,83.0,3
1713,Electronic City,1470.0,2.0,44.1,3
1714,Electronic City,1350.0,3.0,66.0,3
1715,Electronic City,1652.0,3.0,110.0,3
1716,Electronic City,1320.0,2.0,38.12,3
1717,Electronic City,1090.0,2.0,31.48,2
1718,Electronic City,1050.0,2.0,39.0,3
1719,Electronic City,1128.0,2.0,65.58,2
1720,Electronic City,635.0,1.0,28.0,1
1721,Electronic City,1128.0,2.0,65.4,2
1722,Electronic City,1096.0,2.0,39.0,2
1723,Electronic City,1150.0,2.0,38.0,2
1724,Electronic City,1355.0,2.0,72.9,2
1725,Electronic City,1200.0,2.0,30.0,2
1726,Electronic City,1150.0,2.0,35.0,2
1727,Electronic City,1165.0,2.0,33.64,2
1728,Electronic City,770.0,1.0,35.0,2
1729,Electronic City,1020.0,2.0,29.45,2
1730,Electronic City,865.0,2.0,40.0,2
1731,Electronic City,800.0,2.0,32.0,2
1732,Electronic City,970.0,2.0,34.0,2
1733,Electronic City,1108.0,2.0,63.0,2
1734,Electronic City,630.0,1.0,40.5,1
1735,Electronic City,1100.0,2.0,41.0,2
1736,Electronic City,975.0,2.0,32.0,2
1737,Electronic City,605.0,1.0,22.0,1
1738,Electronic City,1142.0,2.0,35.0,2
1739,Electronic City,1070.0,2.0,48.0,2
1740,Electronic City,1160.0,2.0,42.0,3
1741,Electronic City,1360.0,2.0,70.0,3
1742,Electronic City,635.0,1.0,28.0,1
1743,Electronic City,1128.0,2.0,65.45,2
1744,Electronic City,890.0,2.0,40.0,2
1745,Electronic City,1065.0,2.0,30.75,2
1746,Electronic City,1127.0,2.0,32.0,2
1747,Electronic City,825.0,2.0,35.0,2
1748,Electronic City,1200.0,2.0,40.5,2
1749,Electronic City,1360.0,2.0,58.0,3
1750,Electronic City,1400.0,2.0,40.45,3
1751,Electronic City,1065.0,2.0,30.76,2
1752,Electronic City,630.0,1.0,33.7,1
1753,Electronic City,1025.0,2.0,29.61,2
1754,Electronic City,1160.0,2.0,42.0,3
1755,Electronic City,660.0,1.0,16.5,2
1756,Electronic City,1400.0,3.0,90.0,3
1757,Electronic City,1287.0,3.0,55.0,3
1758,Electronic City,1258.0,2.0,85.5,2
1759,Electronic City,1386.0,2.0,85.0,2
1760,Electronic City,550.0,1.0,27.0,1
1761,Electronic City,1025.0,2.0,50.0,2
1762,Electronic City,1140.0,2.0,33.84,2
1763,Electronic City,1070.0,2.0,55.0,2
1764,Electronic City,1342.0,2.0,72.0,2
1765,Electronic City,1275.0,3.0,70.0,3
1766,Electronic City,770.0,1.0,38.0,2
1767,Electronic City,1200.0,2.0,34.65,2
1768,Electronic City,1005.0,2.0,39.77,2
1769,Electronic City,1110.0,2.0,39.9,2
1770,Electronic City,660.0,1.0,23.0,2
1771,Electronic City,1644.0,3.0,92.59,3
1772,Electronic City,1250.0,2.0,62.0,2
1773,Electronic City,1020.0,2.0,30.27,2
1774,Electronic City,1025.0,2.0,29.6,2
1775,Electronic City,418.0,1.0,12.0,1
1776,Electronic City,1128.0,2.0,64.8,2
1777,Electronic City,1220.0,2.0,35.25,3
1778,Electronic City,1220.0,2.0,35.23,3
1779,Electronic City,1060.0,2.0,55.0,2
1780,Electronic City,710.0,1.0,40.42,1
1781,Electronic City,1000.0,2.0,29.95,2
1782,Electronic City,870.0,2.0,24.0,2
1783,Electronic City,1275.0,3.0,63.43,3
1784,Electronic City,1518.0,3.0,75.0,3
1785,Electronic City,1090.0,2.0,31.48,1
1786,Electronic City,1140.0,2.0,32.92,2
1787,Electronic City,1125.0,2.0,32.49,2
1788,Electronic City,1060.0,2.0,55.0,2
1789,Electronic City,1200.0,2.0,34.66,2
1790,Electronic City,1353.0,2.0,75.0,2
1791,Electronic City,660.0,1.0,18.0,2
1792,Electronic City,1128.0,2.0,67.0,2
1793,Electronic City,1070.0,2.0,57.0,2
1794,Electronic City,1700.0,3.0,90.0,3
1795,Electronic City,1521.0,2.0,57.5,3
1796,Electronic City,750.0,1.0,35.0,1
1797,Electronic City,1210.0,2.0,55.0,2
1798,Electronic City,1070.0,2.0,60.0,2
1799,Electronic City,1400.0,2.0,40.44,3
1800,Electronic City,1190.0,2.0,42.0,2
1801,Electronic City,880.0,2.0,19.0,2
1802,Electronic City,1150.0,2.0,38.08,2
1803,Electronic City,550.0,1.0,16.0,2
1804,Electronic City,1615.0,3.0,97.0,3
1805,Electronic City,1165.0,2.0,33.65,2
1806,Electronic City,1221.0,2.0,68.0,2
1807,Electronic City,970.0,2.0,35.0,2
1808,Electronic City,1500.0,3.0,73.0,3
1809,Electronic City,995.0,2.0,48.0,2
1810,Electronic City,1342.0,2.0,90.0,2
1811,Electronic City,1320.0,2.0,38.12,3
1812,Electronic City,550.0,2.0,16.0,2
1813,Electronic City,1128.0,2.0,63.5,2
1814,Electronic City,589.0,1.0,29.0,1
1815,Electronic City,1125.0,2.0,28.13,2
1816,Electronic City,825.0,2.0,30.0,2
1817,Electronic City,1575.0,3.0,94.5,3
1818,Electronic City,1070.0,2.0,48.0,2
1819,Electronic City,1025.0,2.0,54.0,2
1820,Electronic City,1500.0,2.0,70.0,3
1821,Electronic City,1500.0,2.0,64.5,3
1822,Electronic City,1140.0,2.0,32.93,2
1823,Electronic City,2093.0,4.0,134.0,4
1824,Electronic City,750.0,2.0,19.5,2
1825,Electronic City,1355.0,2.0,73.0,2
1826,Electronic City,1360.0,2.0,64.99,3
1827,Electronic City,1060.0,2.0,52.0,2
1828,Electronic City Phase II,1056.0,2.0,39.07,2
1829,Electronic City Phase II,1020.0,2.0,30.6,2
1830,Electronic City Phase II,1069.0,2.0,45.0,2
1831,Electronic City Phase II,630.0,1.0,28.35,1
1832,Electronic City Phase II,1220.0,2.0,35.23,3
1833,Electronic City Phase II,1000.0,2.0,25.0,2
1834,Electronic City Phase II,1090.0,2.0,28.34,2
1835,Electronic City Phase II,2225.0,4.0,98.88,4
1836,Electronic City Phase II,1400.0,2.0,40.43,3
1837,Electronic City Phase II,775.0,2.0,38.0,2
1838,Electronic City Phase II,1266.0,2.0,59.0,2
1839,Electronic City Phase II,1000.0,2.0,28.88,2
1840,Electronic City Phase II,1320.0,2.0,38.13,3
1841,Electronic City Phase II,1220.0,3.0,35.23,3
1842,Electronic City Phase II,972.0,2.0,44.0,2
1843,Electronic City Phase II,1400.0,2.0,40.43,3
1844,Electronic City Phase II,1031.0,2.0,55.0,2
1845,Electronic City Phase II,1003.0,2.0,40.6,2
1846,Electronic City Phase II,545.0,1.0,27.0,2
1847,Electronic City Phase II,1031.0,2.0,56.35,2
1848,Electronic City Phase II,1320.0,2.0,38.12,3
1849,Electronic City Phase II,1395.0,2.0,62.78,3
1850,Electronic City Phase II,1160.0,2.0,33.5,2
1851,Electronic City Phase II,1065.0,2.0,30.75,2
1852,Electronic City Phase II,1219.0,2.0,61.25,2
1853,Electronic City Phase II,1400.0,2.0,41.58,3
1854,Electronic City Phase II,1000.0,2.0,28.88,2
1855,Electronic City Phase II,1790.0,3.0,100.0,3
1856,Electronic City Phase II,769.0,2.0,40.0,2
1857,Electronic City Phase II,1400.0,2.0,40.43,3
1858,Electronic City Phase II,900.0,2.0,32.5,2
1859,Electronic City Phase II,1329.0,2.0,41.0,3
1860,Electronic City Phase II,1220.0,3.0,35.23,3
1861,Electronic City Phase II,993.0,2.0,50.0,3
1862,Electronic City Phase II,1418.0,3.0,52.47,3
1863,Electronic City Phase II,1070.0,2.0,45.0,2
1864,Electronic City Phase II,1310.0,2.0,32.75,3
1865,Electronic City Phase II,1310.0,2.0,37.83,3
1866,Electronic City Phase II,1140.0,2.0,33.06,2
1867,Electronic City Phase II,1089.0,2.0,32.67,2
1868,Electronic City Phase II,1031.0,2.0,55.0,2
1869,Electronic City Phase II,1253.0,2.0,65.8,2
1870,Electronic City Phase II,1400.0,2.0,40.44,3
1871,Electronic City Phase II,1160.0,2.0,33.5,2
1872,Electronic City Phase II,975.0,2.0,45.0,3
1873,Electronic City Phase II,6000.0,4.0,260.0,4
1874,Electronic City Phase II,1116.0,2.0,37.0,2
1875,Electronic City Phase II,1125.0,2.0,29.25,2
1876,Electronic City Phase II,1000.0,2.0,28.88,2
1877,Electronic City Phase II,1000.0,2.0,28.88,2
1878,Electronic City Phase II,1000.0,2.0,28.88,2
1879,Electronic City Phase II,1165.0,2.0,30.29,2
1880,Electronic City Phase II,3550.0,1.0,167.5,4
1881,Electronic City Phase II,1031.0,2.0,53.0,2
1882,Electronic City Phase II,1611.0,2.0,48.33,3
1883,Electronic City Phase II,1065.0,2.0,30.88,2
1884,Electronic City Phase II,1220.0,3.0,36.6,3
1885,Electronic City Phase II,1549.0,3.0,80.0,3
1886,Electronic City Phase II,1065.0,2.0,56.13,2
1887,Electronic City Phase II,1320.0,2.0,38.13,3
1888,Electronic City Phase II,920.0,2.0,26.0,2
1889,Electronic City Phase II,1140.0,2.0,33.84,2
1890,Electronic City Phase II,1219.0,2.0,61.26,2
1891,Electronic City Phase II,1252.0,2.0,65.0,3
1892,Electronic City Phase II,875.0,2.0,40.0,3
1893,Electronic City Phase II,1125.0,2.0,32.49,2
1894,Electronic City Phase II,1310.0,2.0,37.83,3
1895,Electronic City Phase II,1286.0,2.0,69.0,2
1896,Electronic City Phase II,1220.0,2.0,36.21,3
1897,Electronic City Phase II,1140.0,2.0,32.92,2
1898,Electronic City Phase II,1116.0,2.0,40.0,2
1899,Electronic City Phase II,1150.0,3.0,46.0,3
1900,Electronic City Phase II,1192.0,2.0,47.0,3
1901,Electronic City Phase II,1502.0,3.0,50.0,3
1902,Electronic City Phase II,1020.0,2.0,32.0,2
1903,Electronic City Phase II,1900.0,3.0,97.0,4
1904,Electronic City Phase II,1020.0,2.0,27.43,2
1905,Electronic City Phase II,1025.0,2.0,26.65,2
1906,Electronic City Phase II,545.0,1.0,29.0,2
1907,Electronic City Phase II,1020.0,2.0,29.45,2
1908,Electronic City Phase II,1000.0,2.0,28.88,2
1909,Electronic City Phase II,1310.0,2.0,37.84,3
1910,Electronic City Phase II,1140.0,2.0,28.5,2
1911,Electronic City Phase II,1125.0,2.0,32.49,2
1912,Electronic City Phase II,1200.0,2.0,34.65,2
1913,Electronic City Phase II,1160.0,2.0,52.2,2
1914,Electronic City Phase II,1244.0,2.0,55.0,2
1915,Electronic City Phase II,1160.0,2.0,33.51,2
1916,Electronic City Phase II,1220.0,3.0,35.25,3
1917,Electronic City Phase II,1625.0,2.0,48.75,3
1918,Electronic City Phase II,972.0,2.0,40.0,2
1919,Electronic City Phase II,1160.0,2.0,33.51,2
1920,Electronic City Phase II,1400.0,2.0,40.45,3
1921,Electronic City Phase II,1090.0,2.0,31.48,2
1922,Electronic City Phase II,1140.0,2.0,32.92,2
1923,Electronic City Phase II,650.0,1.0,35.0,1
1924,Electronic City Phase II,1155.0,2.0,57.0,2
1925,Electronic City Phase II,1800.0,3.0,92.0,3
1926,Electronic City Phase II,1300.0,2.0,28.0,2
1927,Electronic City Phase II,1940.0,4.0,116.0,3
1928,Electronic City Phase II,1160.0,2.0,33.5,2
1929,Electronic City Phase II,1025.0,2.0,29.6,2
1930,Electronic City Phase II,829.0,2.0,22.8,2
1931,Electronic City Phase II,2187.0,4.0,105.0,4
1932,Electronic City Phase II,1252.0,2.0,67.0,2
1933,Electronic City Phase II,1320.0,2.0,38.12,3
1934,Electronic City Phase II,1125.0,2.0,32.63,2
1935,Electronic City Phase II,1140.0,2.0,34.0,2
1936,Electronic City Phase II,1310.0,2.0,37.84,3
1937,Electronic City Phase II,1400.0,2.0,40.43,3
1938,Electronic City Phase II,1252.0,2.0,65.0,3
1939,Electronic City Phase II,1135.0,2.0,46.0,2
1940,Electronic City Phase II,1305.0,3.0,65.0,3
1941,Electronic City Phase II,1165.0,2.0,33.64,2
1942,Electronic City Phase II,1400.0,2.0,40.44,3
1943,Electronic City Phase II,1336.0,2.0,50.35,3
1944,Electronic City Phase II,575.0,1.0,16.75,1
1945,Electronic City Phase II,925.0,2.0,49.82,3
1946,Electronic City Phase II,1065.0,2.0,30.76,2
1947,Electronic City Phase II,1065.0,2.0,30.75,2
1948,Electronic City Phase II,1140.0,2.0,33.06,2
1949,Electronic City Phase II,911.0,2.0,26.5,2
1950,Electronic City Phase II,1200.0,2.0,34.65,2
1951,Electronic City Phase II,1031.0,2.0,54.48,2
1952,Electronic City Phase II,545.0,1.0,28.0,2
1953,Electronic City Phase II,1310.0,2.0,37.83,3
1954,Electronic City Phase II,1651.0,3.0,49.53,3
1955,Electronics City Phase 1,1070.0,2.0,45.5,2
1956,Electronics City Phase 1,1475.0,3.0,78.29,3
1957,Electronics City Phase 1,1490.0,3.0,78.8,3
1958,Electronics City Phase 1,1113.27,2.0,53.0,2
1959,Electronics City Phase 1,1490.0,3.0,84.0,3
1960,Electronics City Phase 1,1175.0,2.0,51.47,2
1961,Electronics City Phase 1,1160.0,2.0,52.0,2
1962,Electronics City Phase 1,920.0,2.0,33.0,2
1963,Electronics City Phase 1,1750.0,3.0,84.0,3
1964,Electronics City Phase 1,1350.0,3.0,55.0,3
1965,Electronics City Phase 1,940.0,2.0,40.0,2
1966,Electronics City Phase 1,1015.0,2.0,56.0,2
1967,Electronics City Phase 1,1595.0,3.0,75.0,3
1968,Electronics City Phase 1,1515.0,2.0,80.91,3
1969,Electronics City Phase 1,995.0,2.0,46.0,2
1970,Electronics City Phase 1,1555.0,2.0,82.0,3
1971,Electronics City Phase 1,1340.0,2.0,75.0,2
1972,Electronics City Phase 1,650.0,1.0,23.0,1
1973,Electronics City Phase 1,1124.0,2.0,55.0,3
1974,Electronics City Phase 1,1175.0,2.0,57.0,2
1975,Electronics City Phase 1,755.0,1.0,42.41,1
1976,Electronics City Phase 1,580.0,1.0,27.0,1
1977,Electronics City Phase 1,940.0,2.0,49.0,2
1978,Electronics City Phase 1,1335.0,2.0,67.0,2
1979,Electronics City Phase 1,1175.0,2.0,69.0,2
1980,Electronics City Phase 1,1113.12,2.0,55.0,2
1981,Electronics City Phase 1,995.0,2.0,42.0,2
1982,Electronics City Phase 1,1350.0,3.0,71.0,3
1983,Electronics City Phase 1,1445.0,2.0,56.0,3
1984,Electronics City Phase 1,995.0,2.0,49.8,2
1985,Electronics City Phase 1,635.0,1.0,26.0,1
1986,Electronics City Phase 1,1190.0,2.0,68.0,2
1987,Electronics City Phase 1,1085.0,2.0,46.0,2
1988,Electronics City Phase 1,1450.0,3.0,72.54,3
1989,Electronics City Phase 1,360.0,1.0,16.9,1
1990,Electronics City Phase 1,638.0,1.0,32.0,1
1991,Electronics City Phase 1,1175.0,2.0,64.98,2
1992,Electronics City Phase 1,585.0,1.0,21.0,1
1993,Electronics City Phase 1,1200.0,2.0,59.76,2
1994,Electronics City Phase 1,1145.0,2.0,54.0,2
1995,Electronics City Phase 1,1125.0,2.0,65.0,2
1996,Electronics City Phase 1,1522.0,1.0,60.75,3
1997,Electronics City Phase 1,1550.0,2.0,82.0,3
1998,Electronics City Phase 1,1175.0,2.0,50.0,2
1999,Electronics City Phase 1,865.0,2.0,40.0,2
2000,Electronics City Phase 1,1450.0,3.0,70.0,3
2001,Electronics City Phase 1,1450.0,2.0,63.51,3
2002,Electronics City Phase 1,1450.0,3.0,58.0,3
2003,Electronics City Phase 1,1800.0,3.0,93.0,3
2004,Electronics City Phase 1,1314.0,2.0,60.0,2
2005,Electronics City Phase 1,1170.0,2.0,62.0,2
2006,Electronics City Phase 1,1450.0,3.0,79.0,3
2007,Electronics City Phase 1,940.0,2.0,48.0,2
2008,Electronics City Phase 1,940.0,2.0,44.0,2
2009,Electronics City Phase 1,1300.0,2.0,67.0,2
2010,Electronics City Phase 1,1028.0,2.0,51.0,2
2011,Electronics City Phase 1,1080.0,2.0,46.0,2
2012,Electronics City Phase 1,1205.0,2.0,60.0,2
2013,Electronics City Phase 1,1900.0,3.0,85.0,3
2014,Electronics City Phase 1,1305.0,2.0,67.0,2
2015,Electronics City Phase 1,755.0,1.0,30.12,1
2016,Electronics City Phase 1,1175.0,2.0,60.0,2
2017,Frazer Town,1625.0,2.0,75.0,2
2018,Frazer Town,1700.0,3.0,180.0,3
2019,Frazer Town,1305.0,3.0,95.45,3
2020,Frazer Town,1510.0,2.0,75.0,3
2021,Frazer Town,1870.0,3.0,185.0,3
2022,Frazer Town,1750.0,3.0,150.0,3
2023,Frazer Town,4850.0,6.0,385.0,4
2024,Frazer Town,2000.0,3.0,200.0,3
2025,Frazer Town,3500.0,4.0,330.0,3
2026,Frazer Town,2350.0,4.0,285.0,3
2027,Frazer Town,2350.0,2.0,423.0,5
2028,Frazer Town,1550.0,2.0,140.0,2
2029,Frazer Town,1900.0,4.0,145.0,3
2030,Frazer Town,2560.0,3.0,265.0,3
2031,Frazer Town,2400.0,3.0,260.0,3
2032,Frazer Town,2560.0,3.0,288.0,3
2033,Frazer Town,3436.0,5.0,341.0,4
2034,Frazer Town,4856.0,5.0,410.0,4
2035,Frazer Town,1315.0,2.0,140.0,2
2036,Frazer Town,1706.0,3.0,154.0,3
2037,Frazer Town,2079.0,3.0,220.0,3
2038,Frazer Town,3435.0,2.0,341.0,4
2039,Frazer Town,3436.0,5.0,345.0,4
2040,Frazer Town,560.0,1.0,90.0,1
2041,Frazer Town,3100.0,3.0,400.0,3
2042,Frazer Town,5400.0,3.0,400.0,3
2043,Frazer Town,1180.0,2.0,105.0,2
2044,Frazer Town,2900.0,4.0,325.0,4
2045,Frazer Town,2801.25,4.0,462.0,5
2046,Frazer Town,1200.0,2.0,78.0,2
2047,Frazer Town,2214.0,3.0,350.0,3
2048,Frazer Town,1870.0,3.0,180.0,3
2049,Frazer Town,4100.0,4.0,660.0,4
2050,Frazer Town,896.0,1.0,100.0,1
2051,Frazer Town,1420.0,2.0,120.0,2
2052,Gottigere,1100.0,2.0,40.0,2
2053,Gottigere,967.0,2.0,45.0,2
2054,Gottigere,1618.0,3.0,82.5,3
2055,Gottigere,1222.0,2.0,63.0,2
2056,Gottigere,1600.0,2.0,55.0,3
2057,Gottigere,1300.0,3.0,65.0,3
2058,Gottigere,950.0,2.0,38.0,2
2059,Gottigere,1153.0,2.0,48.5,2
2060,Gottigere,812.0,1.0,26.0,1
2061,Gottigere,2000.0,4.0,82.0,4
2062,Gottigere,1460.0,2.0,65.0,3
2063,Gottigere,1500.0,3.0,70.0,3
2064,Gottigere,1621.0,3.0,72.0,3
2065,Gottigere,812.0,1.0,26.0,1
2066,Gottigere,990.0,2.0,40.0,2
2067,Gottigere,1235.0,2.0,63.0,2
2068,Gottigere,1385.0,3.0,64.0,3
2069,Gottigere,1000.0,2.0,35.0,2
2070,Gottigere,1010.0,2.0,35.0,2
2071,Gottigere,1385.0,2.0,50.0,3
2072,Gottigere,1425.0,2.0,47.0,3
2073,Gottigere,1435.0,2.0,62.0,3
2074,Gottigere,945.0,2.0,45.0,2
2075,Gottigere,1400.0,2.0,50.0,3
2076,Gottigere,2500.0,3.0,120.0,4
2077,Gottigere,1230.0,2.0,52.0,3
2078,Gottigere,1120.0,2.0,50.0,2
2079,Gottigere,1500.0,3.0,63.0,3
2080,Gottigere,1200.0,2.0,40.0,2
2081,Gottigere,1280.0,2.0,61.0,2
2082,Gottigere,1205.0,2.0,56.58,2
2083,Gottigere,1170.0,2.0,40.0,2
2084,Gottigere,3000.0,3.0,132.0,4
2085,Gottigere,1613.0,3.0,72.0,3
2086,Gottigere,1110.0,2.0,36.25,2
2087,Gottigere,1245.0,2.0,59.0,2
2088,Gottigere,1200.0,2.0,50.0,2
2089,Green Glen Layout,1670.0,3.0,120.0,3
2090,Green Glen Layout,3250.0,4.0,230.0,4
2091,Green Glen Layout,1776.42,3.0,105.0,3
2092,Green Glen Layout,3250.0,4.0,230.0,4
2093,Green Glen Layout,940.0,2.0,56.8,2
2094,Green Glen Layout,1075.0,2.0,60.0,2
2095,Green Glen Layout,1715.0,3.0,115.0,3
2096,Green Glen Layout,1751.0,2.0,115.0,3
2097,Green Glen Layout,1750.0,3.0,130.0,3
2098,Green Glen Layout,1530.0,3.0,105.0,3
2099,Green Glen Layout,1752.0,3.0,105.0,3
2100,Green Glen Layout,1680.0,4.0,95.0,3
2101,Green Glen Layout,1728.0,3.0,125.0,3
2102,Green Glen Layout,1645.0,3.0,110.0,3
2103,Green Glen Layout,1517.0,3.0,100.0,3
2104,Green Glen Layout,3150.0,4.0,218.0,4
2105,Green Glen Layout,3270.0,4.0,205.0,4
2106,Green Glen Layout,1750.0,3.0,120.0,3
2107,Green Glen Layout,1751.0,3.0,115.0,3
2108,Green Glen Layout,1750.0,3.0,105.0,3
2109,Green Glen Layout,1885.0,3.0,135.0,3
2110,Green Glen Layout,1715.0,3.0,120.0,3
2111,Green Glen Layout,1623.29,2.0,105.0,3
2112,Green Glen Layout,1715.0,3.0,115.0,3
2113,Green Glen Layout,1715.0,3.0,105.0,3
2114,Green Glen Layout,1600.0,3.0,105.0,3
2115,Green Glen Layout,1717.0,3.0,125.0,3
2116,Green Glen Layout,1250.0,2.0,75.0,2
2117,Green Glen Layout,1715.0,3.0,112.0,3
2118,Gubbalala,1470.0,2.0,82.0,3
2119,Gubbalala,1745.0,3.0,125.0,3
2120,Gubbalala,1745.0,3.0,104.0,3
2121,Gubbalala,1745.0,3.0,115.0,3
2122,Gubbalala,1745.0,3.0,110.0,3
2123,Gubbalala,1650.0,3.0,71.0,3
2124,Gubbalala,2570.0,4.0,141.0,5
2125,Gubbalala,1205.0,2.0,70.0,2
2126,Gubbalala,1435.0,2.0,80.0,3
2127,Gubbalala,1475.0,2.0,80.0,2
2128,Gubbalala,2000.0,4.0,85.0,4
2129,Gubbalala,1100.0,2.0,49.5,2
2130,Gubbalala,1060.0,2.0,46.0,2
2131,Gubbalala,2000.0,3.0,125.0,3
2132,Gubbalala,4000.0,5.0,195.0,4
2133,Gubbalala,1745.0,3.0,130.0,3
2134,Gubbalala,1285.0,2.0,90.0,2
2135,HSR Layout,1400.0,3.0,56.0,3
2136,HSR Layout,1372.0,2.0,68.0,2
2137,HSR Layout,1430.0,2.0,65.0,3
2138,HSR Layout,1475.0,3.0,75.0,3
2139,HSR Layout,1467.0,2.0,55.0,2
2140,HSR Layout,1140.0,2.0,46.0,2
2141,HSR Layout,1372.0,2.0,61.0,2
2142,HSR Layout,1750.0,3.0,95.0,3
2143,HSR Layout,2424.0,3.0,90.0,3
2144,HSR Layout,1027.0,2.0,44.0,2
2145,HSR Layout,1650.0,3.0,110.0,3
2146,HSR Layout,1140.0,2.0,46.0,2
2147,HSR Layout,1372.0,2.0,61.0,2
2148,HSR Layout,1140.0,2.0,46.0,2
2149,HSR Layout,1185.0,2.0,60.0,2
2150,HSR Layout,1127.0,2.0,68.0,2
2151,HSR Layout,1600.0,2.0,115.0,3
2152,HSR Layout,1145.0,2.0,48.0,2
2153,HSR Layout,1009.0,2.0,56.0,2
2154,HSR Layout,2792.0,4.0,220.0,4
2155,HSR Layout,1300.0,2.0,98.0,2
2156,HSR Layout,2400.0,3.0,88.0,3
2157,HSR Layout,1140.0,2.0,46.0,2
2158,HSR Layout,1126.0,2.0,69.0,2
2159,HSR Layout,1360.0,2.0,53.0,3
